2022-01-26 16:03:28 install libgc1c2:amd64 <none> 1:7.6.4-0.4
2022-01-26 16:03:28 status triggers-pending libc-bin:amd64 2.28-10
2022-01-26 16:03:28 status half-installed libgc1c2:amd64 1:7.6.4-0.4
2022-01-26 16:03:28 status unpacked libgc1c2:amd64 1:7.6.4-0.4
2022-01-26 16:03:28 install libltdl7:amd64 <none> 2.4.6-9
2022-01-26 16:03:28 status half-installed libltdl7:amd64 2.4.6-9
2022-01-26 16:03:28 status unpacked libltdl7:amd64 2.4.6-9
2022-01-26 16:03:28 install guile-2.2-libs:amd64 <none> 2.2.4+1-2+deb10u1
2022-01-26 16:03:28 status half-installed guile-2.2-libs:amd64 2.2.4+1-2+deb10u1
2022-01-26 16:03:29 status unpacked guile-2.2-libs:amd64 2.2.4+1-2+deb10u1
2022-01-26 16:03:29 install libfribidi0:amd64 <none> 1.0.5-3.1+deb10u1
2022-01-26 16:03:29 status half-installed libfribidi0:amd64 1.0.5-3.1+deb10u1
2022-01-26 16:03:29 status unpacked libfribidi0:amd64 1.0.5-3.1+deb10u1
2022-01-26 16:03:29 install libntlm0:amd64 <none> 1.5-1+deb10u1
2022-01-26 16:03:29 status half-installed libntlm0:amd64 1.5-1+deb10u1
2022-01-26 16:03:29 status unpacked libntlm0:amd64 1.5-1+deb10u1
2022-01-26 16:03:29 install libgsasl7:amd64 <none> 1.8.0-8+b2
2022-01-26 16:03:29 status half-installed libgsasl7:amd64 1.8.0-8+b2
2022-01-26 16:03:29 status unpacked libgsasl7:amd64 1.8.0-8+b2
2022-01-26 16:03:29 install liblzo2-2:amd64 <none> 2.10-0.1
2022-01-26 16:03:29 status half-installed liblzo2-2:amd64 2.10-0.1
2022-01-26 16:03:29 status unpacked liblzo2-2:amd64 2.10-0.1
2022-01-26 16:03:29 install libkyotocabinet16v5:amd64 <none> 1.2.76-4.2+b1
2022-01-26 16:03:29 status half-installed libkyotocabinet16v5:amd64 1.2.76-4.2+b1
2022-01-26 16:03:29 status unpacked libkyotocabinet16v5:amd64 1.2.76-4.2+b1
2022-01-26 16:03:29 install mailutils-common:all <none> 1:3.5-4
2022-01-26 16:03:29 status half-installed mailutils-common:all 1:3.5-4
2022-01-26 16:03:29 status unpacked mailutils-common:all 1:3.5-4
2022-01-26 16:03:29 install mysql-common:all <none> 5.8+1.0.5
2022-01-26 16:03:29 status half-installed mysql-common:all 5.8+1.0.5
2022-01-26 16:03:29 status unpacked mysql-common:all 5.8+1.0.5
2022-01-26 16:03:29 install mariadb-common:all <none> 1:10.3.31-0+deb10u1
2022-01-26 16:03:29 status half-installed mariadb-common:all 1:10.3.31-0+deb10u1
2022-01-26 16:03:29 status unpacked mariadb-common:all 1:10.3.31-0+deb10u1
2022-01-26 16:03:29 install libmariadb3:amd64 <none> 1:10.3.31-0+deb10u1
2022-01-26 16:03:29 status half-installed libmariadb3:amd64 1:10.3.31-0+deb10u1
2022-01-26 16:03:29 status unpacked libmariadb3:amd64 1:10.3.31-0+deb10u1
2022-01-26 16:03:29 install libpython2.7:amd64 <none> 2.7.16-2+deb10u1
2022-01-26 16:03:29 status half-installed libpython2.7:amd64 2.7.16-2+deb10u1
2022-01-26 16:03:29 status unpacked libpython2.7:amd64 2.7.16-2+deb10u1
2022-01-26 16:03:29 install libmailutils5:amd64 <none> 1:3.5-4
2022-01-26 16:03:29 status half-installed libmailutils5:amd64 1:3.5-4
2022-01-26 16:03:30 status unpacked libmailutils5:amd64 1:3.5-4
2022-01-26 16:03:30 install mailutils:amd64 <none> 1:3.5-4
2022-01-26 16:03:30 status half-installed mailutils:amd64 1:3.5-4
2022-01-26 16:03:30 status triggers-pending man-db:amd64 2.8.5-2
2022-01-26 16:03:30 status unpacked mailutils:amd64 1:3.5-4
2022-01-26 16:03:30 startup packages configure
2022-01-26 16:03:30 configure mysql-common:all 5.8+1.0.5 <none>
2022-01-26 16:03:30 status unpacked mysql-common:all 5.8+1.0.5
2022-01-26 16:03:30 status half-configured mysql-common:all 5.8+1.0.5
2022-01-26 16:03:30 status installed mysql-common:all 5.8+1.0.5
